Sample	DB	LB	RD	PI
Palau142	0.959	0.007	0.007	0.027
Palau143	0.8937	0.0437	0.0469	0.0157
Palau018	0.985	0.006	0.004	0.005
Palau021	0.0254	0.8821	0.032	0.0605
Palau023	0.9761	0.0136	0.007	0.0033
Palau026	0.0563	0.9117	0.024	0.008
Palau315	0.9769	0.004	0.0151	0.004
Palau316	0.9573	0.016	0.008	0.0187
Palau317	0.9543	0.011	0.009	0.0257
Palau318	0.9536	0.004	0.0374	0.005
Palau319	0.9435	0.004	0.0485	0.004
Palau320	0.9695	0.0119	0.0136	0.005
Palau321	0.0078	0.9844	0.0059	0.002
Palau322	0.003	0.002	0.003	0.992
Palau323	0.989	0.004	0.003	0.004
Palau324	0.9715	0.0215	0.004	0.003
Palau325	0.99	0.004	0.003	0.003
Palau326	0.9787	0.007	0.007	0.0073
Palau327	0.004	0.003	0.003	0.99
Palau328	0.9474	0.0436	0.004	0.005
Palau329	0.1921	0.6478	0.044	0.1161
Palau330	0.9891	0.003	0.005	0.0029
Palau331	0.002	0.002	0.003	0.993
Palau348	0.9401	0.047	0.0089	0.004
Palau349	0.9759	0.0131	0.004	0.007
Palau351	0.9314	0.0102	0.0404	0.018
Palau352	0.9738	0.0066	0.007	0.0126
Palau353	0.985	0.005	0.006	0.004
Palau354	0.005	0.003	0.007	0.985
Palau355	0.006	0.0089	0.01	0.9751
Palau356	0.0035	0.003	0.0026	0.9909
Palau357	0.98	0.005	0.009	0.006
Palau204	0.9846	0.004	0.0065	0.0049
Palau205	0.9609	0.0234	0.0107	0.005
Palau206	0.0216	0.9654	0.009	0.004
Palau207	0.0158	0.0158	0.0144	0.9541
Palau208	0.979	0.011	0.006	0.004
Palau209	0.1559	0.8361	0.005	0.003
Palau210	0.007	0.9841	0.0039	0.005
Palau211	0.99	0.003	0.004	0.003
Palau212	0.979	0.004	0.012	0.005
Palau213	0.98	0.014	0.003	0.003
Palau214	0.7392	0.2151	0.0378	0.008
Palau215	0.8888	0.1012	0.006	0.004
Palau216	0.9534	0.0064	0.004	0.0363
Palau217	0.0058	0.9882	0.004	0.002
Palau219	0.01	0.9769	0.003	0.0101
Palau220	0.9808	0.0066	0.0056	0.007
Palau221	0.1681	0.8189	0.01	0.003
Palau222	0.9736	0.0171	0.0042	0.005
Palau223	0.01	0.979	0.004	0.007
Palau224	0.014	0.978	0.003	0.005
Palau226	0.005	0.9878	0.0032	0.004
Palau227	0.966	0.009	0.022	0.003
Palau228	0.0045	0.9895	0.003	0.003
Palau229	0.9807	0.0103	0.007	0.002
Palau231	0.2118	0.7772	0.008	0.003
Palau232	0.0115	0.0256	0.011	0.9519
