Sample	Site	Core	Year	Density	ExtRate	CalcRate
Palau010	Ngermid	169	2009	1.0065	1.0347	1.0415
Palau010	Ngermid	169	2008	1.0266	0.6971	0.7157
Palau010	Ngermid	169	2007	1.035	0.7586	0.7852
Palau010	Ngermid	169	2006	1.0262	0.6765	0.6942
Palau010	Ngermid	169	2005	1.0337	0.7079	0.7317
Palau010	Ngermid	169	2004	1.0275	0.6775	0.6962
Palau010	Ngermid	169	2003	1.0118	0.9019	0.9126
Palau010	Ngermid	169	2002	1.0024	0.6657	0.6672
Palau010	Ngermid	169	2001	1.0063	0.6636	0.6679
Palau010	Ngermid	169	2000	1.0368	0.7651	0.7933
Palau010	Ngermid	169	1999	1.0287	0.4948	0.509
Palau010	Ngermid	169	1998	1.0628	0.5989	0.6364
Palau008	Ngermid	178	2009	1.1439	0.9451	1.0811
Palau008	Ngermid	178	2008	1.0547	0.796	0.8396
Palau008	Ngermid	178	2007	1.0493	0.8479	0.8897
Palau008	Ngermid	178	2006	1.0441	1.0968	1.1452
Palau008	Ngermid	178	2005	1.0602	0.681	0.722
Palau008	Ngermid	178	2004	1.0617	0.7179	0.7622
Palau008	Ngermid	178	2003	1.0711	0.696	0.7455
Palau008	Ngermid	178	2002	1.0638	0.8267	0.8795
Palau008	Ngermid	178	2001	1.0641	0.7014	0.7463
Palau008	Ngermid	178	2000	1.0806	0.7694	0.8315
Palau008	Ngermid	178	1999	1.0921	0.7802	0.8521
Palau008	Ngermid	178	1998	1.0806	0.7481	0.8084
Palau008	Ngermid	178	1997	1.0677	0.7143	0.7626
Palau008	Ngermid	178	1996	1.0652	0.7562	0.8055
Palau008	Ngermid	178	1995	1.0872	0.6957	0.7563
Palau008	Ngermid	178	1994	1.1495	0.9037	1.0388
Palau008	Ngermid	178	1993	1.1026	0.6814	0.7513
Palau008	Ngermid	178	1992	1.1936	0.8159	0.9738
Palau012	Ngermid	180	2011	0.8593	0.7818	0.6718
Palau012	Ngermid	180	2010	0.8742	0.7988	0.6984
Palau012	Ngermid	180	2009	0.8666	0.6859	0.5944
Palau012	Ngermid	180	2008	0.9197	0.6396	0.5882
Palau012	Ngermid	180	2007	0.8985	0.7205	0.6473
Palau012	Ngermid	180	2006	0.8703	0.7126	0.6202
Palau012	Ngermid	180	2005	0.8641	0.7549	0.6523
Palau012	Ngermid	180	2004	0.8549	0.7405	0.633
Palau012	Ngermid	180	2003	0.8353	0.8025	0.6703
Palau012	Ngermid	180	2002	0.787	0.6938	0.546
Palau012	Ngermid	180	2001	0.7455	0.553	0.4123
Palau012	Ngermid	180	2000	0.7971	0.7534	0.6005
Palau012	Ngermid	180	1999	0.9238	0.4727	0.4366
Palau012	Ngermid	180	1998	1.1028	0.5202	0.5737
Palau012	Ngermid	180	1997	0.9406	0.6033	0.5675
Palau057	Drop_Off	210	2010	1.3033	0.3477	0.4532
Palau057	Drop_Off	210	2009	1.32	0.8492	1.1209
Palau057	Drop_Off	210	2008	1.2342	0.375	0.4629
Palau057	Drop_Off	210	2007	1.2332	0.6334	0.7811
Palau057	Drop_Off	210	2006	1.2611	0.7326	0.9239
Palau057	Drop_Off	210	2005	1.2396	0.5898	0.7311
Palau057	Drop_Off	210	2004	1.2806	0.5225	0.6691
Palau057	Drop_Off	210	2003	1.2666	0.7819	0.9904
Palau057	Drop_Off	210	2002	1.2738	0.5683	0.7239
Palau057	Drop_Off	210	2001	1.2935	0.6013	0.7778
Palau057	Drop_Off	210	2000	1.282	0.6799	0.8717
Palau064	Drop_Off	211	2010	1.6899	1.5073	2.5472
Palau064	Drop_Off	211	2009	1.6337	1.2269	2.0044
Palau064	Drop_Off	211	2008	1.6072	1.3212	2.1234
Palau064	Drop_Off	211	2007	1.4497	1.0235	1.4838
Palau064	Drop_Off	211	2006	1.5662	1.4476	2.2672
Palau064	Drop_Off	211	2005	1.6087	1.2491	2.0094
Palau064	Drop_Off	211	2004	1.6017	1.6969	2.7179
Palau064	Drop_Off	211	2003	1.6584	1.3622	2.2592
Palau064	Drop_Off	211	2002	1.6894	1.6544	2.795
Palau064	Drop_Off	211	2001	1.5442	1.5439	2.3841
Palau064	Drop_Off	211	2000	1.5488	1.4808	2.2934
Palau064	Drop_Off	211	1999	1.5727	0.7452	1.1719
Palau064	Drop_Off	211	1998	1.6392	0.9757	1.5993
Palau064	Drop_Off	211	1997	1.5763	1.6874	2.6597
Palau064	Drop_Off	211	1996	1.448	1.4616	2.1165
Palau064	Drop_Off	211	1995	1.4341	1.0714	1.5366
Palau032	Risong	213	2010	1.114	0.506	0.5637
Palau032	Risong	213	2009	1.063	0.4832	0.5137
Palau032	Risong	213	2008	1.0633	0.6178	0.6569
Palau032	Risong	213	2007	1.0873	0.7426	0.8074
Palau032	Risong	213	2006	1.124	0.6483	0.7287
Palau032	Risong	213	2005	1.1673	0.6581	0.7682
Palau032	Risong	213	2004	1.1224	0.4853	0.5448
Palau032	Risong	213	2003	1.1259	0.531	0.5978
Palau032	Risong	213	2002	1.1538	0.8638	0.9966
Palau032	Risong	213	2001	1.0504	0.451	0.4738
Palau032	Risong	213	2000	1.0684	0.7726	0.8255
Palau032	Risong	213	1999	1.1223	0.6241	0.7004
Palau032	Risong	213	1998	1.0969	0.6359	0.6975
Palau032	Risong	213	1997	1.1083	0.5795	0.6422
Palau032	Risong	213	1996	1.1513	0.562	0.647
Palau054	Drop_Off	214	2010	1.3361	0.6929	0.9257
Palau054	Drop_Off	214	2009	1.3839	0.5727	0.7926
Palau054	Drop_Off	214	2008	1.3294	0.6924	0.9205
Palau054	Drop_Off	214	2007	1.3328	0.6067	0.8086
Palau054	Drop_Off	214	2006	1.3344	0.5152	0.6875
Palau054	Drop_Off	214	2005	1.3242	0.4385	0.5806
Palau054	Drop_Off	214	2004	1.3586	0.4615	0.627
Palau054	Drop_Off	214	2003	1.3705	0.9503	1.3024
Palau054	Drop_Off	214	2002	1.3786	0.3987	0.5496
Palau054	Drop_Off	214	2001	1.3869	0.6061	0.8406
Palau054	Drop_Off	214	2000	1.2969	0.5407	0.7012
Palau054	Drop_Off	214	1999	1.2716	0.9002	1.1448
Palau054	Drop_Off	214	1998	1.2358	0.4353	0.538
Palau054	Drop_Off	214	1997	1.2469	0.5681	0.7084
Palau054	Drop_Off	214	1996	1.2812	0.6712	0.8599
Palau054	Drop_Off	214	1995	1.2177	0.6805	0.8286
Palau054	Drop_Off	214	1994	1.2534	0.9193	1.1522
Palau054	Drop_Off	214	1993	1.3304	0.5588	0.7433
Palau054	Drop_Off	214	1992	1.3771	1.5731	2.1663
Palau054	Drop_Off	214	1991	1.2733	0.7981	1.0163
Palau033	Risong	216	2010	1.1864	0.8918	1.058
Palau033	Risong	216	2009	1.1507	0.9506	1.0939
Palau033	Risong	216	2008	1.1971	0.9736	1.1654
Palau033	Risong	216	2007	1.2294	0.8276	1.0175
Palau033	Risong	216	2006	1.2175	0.9131	1.1116
Palau033	Risong	216	2005	1.2166	0.9267	1.1275
Palau033	Risong	216	2004	1.1828	1.0186	1.2048
Palau033	Risong	216	2003	1.1946	0.7958	0.9507
Palau034	Risong	217	2010	0.9791	0.6419	0.6285
Palau034	Risong	217	2009	0.9958	0.4877	0.4857
Palau034	Risong	217	2008	1.0089	0.5251	0.5298
Palau034	Risong	217	2007	1.0201	0.581	0.5927
Palau034	Risong	217	2006	0.9945	0.5055	0.5028
Palau034	Risong	217	2005	0.9833	0.5121	0.5035
Palau034	Risong	217	2004	0.993	0.5265	0.5228
Palau034	Risong	217	2003	0.9967	0.5711	0.5692
Palau034	Risong	217	2002	0.9888	0.586	0.5794
Palau034	Risong	217	2001	0.9911	0.5168	0.5122
Palau034	Risong	217	2000	0.9879	0.4443	0.4389
Palau034	Risong	217	1999	1.0174	0.4605	0.4685
Palau034	Risong	217	1998	1.0426	0.4374	0.456
Palau034	Risong	217	1997	1.0067	0.368	0.3704
Palau034	Risong	217	1996	1.0331	0.5119	0.5289
Palau034	Risong	217	1995	1.0501	0.5436	0.5708
Palau034	Risong	217	1994	1.0239	0.3647	0.3734
Palau034	Risong	217	1993	1.0144	0.5006	0.5078
Palau034	Risong	217	1992	1.0317	0.4973	0.513
Palau034	Risong	217	1991	1.0472	0.5631	0.5897
Palau034	Risong	217	1990	1.0633	0.5068	0.5389
Palau034	Risong	217	1989	1.0946	0.453	0.4959
Palau034	Risong	217	1988	1.0704	0.3361	0.3597
Palau034	Risong	217	1987	1.0841	0.5186	0.5622
Palau034	Risong	217	1986	1.1034	0.3644	0.4021
Palau034	Risong	217	1985	1.1195	0.325	0.3638
Palau034	Risong	217	1984	1.0913	0.4119	0.4495
Palau034	Risong	217	1983	1.0829	0.3438	0.3723
Palau034	Risong	217	1982	1.08	0.4043	0.4366
Palau034	Risong	217	1981	1.0897	0.4314	0.4702
Palau034	Risong	217	1980	1.112	0.4123	0.4585
Palau035	Risong	218	2010	0.9235	0.583	0.5383
Palau035	Risong	218	2009	0.8777	0.6191	0.5433
Palau035	Risong	218	2008	0.9119	0.731	0.6666
Palau035	Risong	218	2007	0.9122	0.9836	0.8972
Palau035	Risong	218	2006	0.8923	0.7615	0.6795
Palau035	Risong	218	2005	0.904	0.6851	0.6193
Palau035	Risong	218	2004	0.9193	0.9711	0.8928
Palau035	Risong	218	2003	0.9549	0.8285	0.7912
Palau035	Risong	218	2002	0.931	0.8616	0.8021
Palau035	Risong	218	2001	0.8826	0.5562	0.4909
Palau035	Risong	218	2000	0.8466	0.5507	0.4662
Palau035	Risong	218	1999	0.8993	0.698	0.6278
Palau035	Risong	218	1998	0.9692	0.7071	0.6853
Palau035	Risong	218	1997	0.9778	0.6084	0.5949
Palau035	Risong	218	1996	0.9635	0.9801	0.9443
Palau035	Risong	218	1995	0.924	0.7975	0.7369
Palau035	Risong	218	1994	0.9545	0.5894	0.5625
Palau035	Risong	218	1993	0.9903	0.6156	0.6096
Palau035	Risong	218	1992	0.9322	0.5776	0.5384
Palau035	Risong	218	1991	0.9596	0.5758	0.5525
Palau035	Risong	218	1990	0.9483	0.5214	0.4945
Palau035	Risong	218	1989	0.9672	0.5806	0.5615
Palau035	Risong	218	1988	0.939	0.6316	0.5931
Palau035	Risong	218	1987	0.9465	0.6554	0.6203
Palau036	Risong	219	2010	0.9367	0.6774	0.6345
Palau036	Risong	219	2009	0.8869	0.8782	0.7789
Palau036	Risong	219	2008	0.925	0.7188	0.6649
Palau036	Risong	219	2007	0.9251	0.9282	0.8586
Palau036	Risong	219	2006	0.9447	1.0111	0.9552
Palau036	Risong	219	2005	0.9705	0.9042	0.8775
Palau036	Risong	219	2004	0.9795	0.8702	0.8524
Palau036	Risong	219	2003	0.9386	0.9746	0.9147
Palau036	Risong	219	2002	0.9417	0.944	0.889
Palau036	Risong	219	2001	0.9553	0.7277	0.6952
Palau037	Risong	220	2010	1.2569	0.7592	0.9543
Palau037	Risong	220	2009	1.2292	0.6935	0.8524
Palau037	Risong	220	2008	1.2647	0.8173	1.0336
Palau037	Risong	220	2007	1.3057	0.8538	1.1148
Palau037	Risong	220	2006	1.3116	0.8948	1.1736
Palau037	Risong	220	2005	1.3141	0.6898	0.9065
Palau037	Risong	220	2004	1.2662	0.8255	1.0452
Palau037	Risong	220	2003	1.2589	0.7811	0.9834
Palau037	Risong	220	2002	1.232	0.7649	0.9424
Palau037	Risong	220	2001	1.1458	0.5793	0.6638
Palau037	Risong	220	2000	1.2158	0.718	0.873
Palau037	Risong	220	1999	1.2294	0.6753	0.8303
Palau037	Risong	220	1998	1.2681	0.7873	0.9984
Palau037	Risong	220	1997	1.2716	0.6763	0.86
Palau037	Risong	220	1996	1.3174	0.547	0.7206
Palau037	Risong	220	1995	1.3058	0.6862	0.8961
Palau037	Risong	220	1994	1.3084	0.5619	0.7352
Palau037	Risong	220	1993	1.3017	0.7828	1.0189
Palau037	Risong	220	1992	1.2422	0.7248	0.9004
Palau037	Risong	220	1991	1.245	0.772	0.9611
Palau037	Risong	220	1990	1.3123	0.8627	1.1321
Palau037	Risong	220	1989	1.232	1.1969	1.4745
Palau037	Risong	220	1988	1.2732	0.7956	1.0129
Palau037	Risong	220	1987	1.319	0.8171	1.0778
Palau037	Risong	220	1986	1.2147	0.8071	0.9804
Palau037	Risong	220	1985	1.2408	0.7567	0.9389
Palau060	Drop_Off	221	2010	1.4807	0.7933	1.1747
Palau060	Drop_Off	221	2009	1.4575	0.8577	1.25
Palau060	Drop_Off	221	2008	1.4296	0.9799	1.4008
Palau060	Drop_Off	221	2007	1.3983	0.9345	1.3067
Palau060	Drop_Off	221	2006	1.4369	1.0474	1.5051
Palau060	Drop_Off	221	2005	1.4321	0.6924	0.9917
Palau060	Drop_Off	221	2004	1.4537	0.8957	1.3021
Palau060	Drop_Off	221	2003	1.4662	0.9089	1.3327
Palau060	Drop_Off	221	2002	1.4366	1.0778	1.5484
Palau060	Drop_Off	221	2001	1.4627	0.92	1.3457
Palau060	Drop_Off	221	2000	1.4868	1.1693	1.7385
Palau060	Drop_Off	221	1999	1.4386	1.1087	1.5949
Palau060	Drop_Off	221	1998	1.425	1.1123	1.585
Palau060	Drop_Off	221	1997	1.4377	1.0198	1.4662
Palau060	Drop_Off	221	1996	1.4601	0.9417	1.375
Palau060	Drop_Off	221	1995	1.4371	0.8051	1.157
Palau060	Drop_Off	221	1994	1.4681	0.8647	1.2694
Palau060	Drop_Off	221	1993	1.471	1.0199	1.5003
Palau060	Drop_Off	221	1992	1.4985	0.9979	1.4953
Palau060	Drop_Off	221	1991	1.5294	0.9615	1.4705
Palau060	Drop_Off	221	1990	1.4776	1.032	1.5249
Palau060	Drop_Off	221	1989	1.4692	0.9944	1.4609
Palau060	Drop_Off	221	1988	1.4367	1.1539	1.6578
Palau060	Drop_Off	221	1987	1.4171	1.0996	1.5582
Palau038	Risong	222	2010	0.9826	0.3991	0.3922
Palau038	Risong	222	2009	0.9549	0.4003	0.3822
Palau038	Risong	222	2008	0.965	0.8174	0.7888
Palau038	Risong	222	2007	1.022	0.6856	0.7007
Palau038	Risong	222	2006	1.078	0.613	0.6608
Palau038	Risong	222	2005	1.1038	0.6417	0.7083
Palau038	Risong	222	2004	1.0983	0.6326	0.6948
Palau038	Risong	222	2003	1.0771	0.662	0.713
Palau038	Risong	222	2002	1.0364	0.619	0.6415
Palau038	Risong	222	2001	1.0245	0.6402	0.6559
Palau038	Risong	222	2000	1.0382	0.7311	0.759
Palau038	Risong	222	1999	1.0364	0.6623	0.6864
Palau038	Risong	222	1998	1.0567	0.5674	0.5995
Palau038	Risong	222	1997	1.0622	0.6749	0.7169
Palau038	Risong	222	1996	1.1081	0.6356	0.7043
Palau038	Risong	222	1995	1.1092	0.574	0.6367
Palau038	Risong	222	1994	1.1421	0.5628	0.6428
Palau039	Risong	223	2010	1.2572	0.83	1.0435
Palau039	Risong	223	2009	1.2034	0.8962	1.0784
Palau039	Risong	223	2008	1.2161	0.9267	1.1269
Palau039	Risong	223	2007	1.1975	0.9341	1.1186
Palau039	Risong	223	2006	1.1817	1.0874	1.285
Palau039	Risong	223	2005	1.2115	1.0038	1.2162
Palau039	Risong	223	2004	1.2022	1.0738	1.2909
Palau039	Risong	223	2003	1.2006	0.8735	1.0487
Palau039	Risong	223	2002	1.1833	0.9864	1.1671
Palau039	Risong	223	2001	1.2028	0.8918	1.0727
Palau040	Risong	224	2010	0.9049	0.681	0.6163
Palau040	Risong	224	2009	0.9737	0.8283	0.8065
Palau040	Risong	224	2008	0.9033	1.3233	1.1954
Palau040	Risong	224	2007	0.8821	1.1624	1.0254
Palau040	Risong	224	2006	0.927	1.0362	0.9605
Palau040	Risong	224	2005	0.9198	1.2754	1.1731
Palau040	Risong	224	2004	0.9283	1.0136	0.9409
Palau040	Risong	224	2003	0.9594	0.9404	0.9022
Palau040	Risong	224	2002	0.9356	1.4351	1.3427
Palau040	Risong	224	2001	0.9398	1.6064	1.5098
Palau040	Risong	224	2000	0.96	1.5584	1.496
Palau040	Risong	224	1999	0.9462	1.5613	1.4773
Palau041	Risong	225	2010	1.0394	0.8274	0.86
Palau041	Risong	225	2009	0.9605	0.7241	0.6955
Palau041	Risong	225	2008	0.9818	1.0586	1.0392
Palau041	Risong	225	2007	0.9983	0.5888	0.5878
Palau041	Risong	225	2006	1.0432	0.7811	0.8149
Palau041	Risong	225	2005	0.9712	1.0832	1.052
Palau041	Risong	225	2004	0.9689	0.7495	0.7262
Palau041	Risong	225	2003	0.9758	0.6699	0.6537
Palau041	Risong	225	2002	0.9673	0.9208	0.8907
Palau041	Risong	225	2001	0.9651	0.9525	0.9193
Palau041	Risong	225	2000	0.9519	1.0092	0.9608
Palau041	Risong	225	1999	0.9543	0.8096	0.7726
Palau041	Risong	225	1998	1.0087	0.5459	0.5506
Palau041	Risong	225	1997	1.0244	1.089	1.1155
Palau041	Risong	225	1996	1.0033	0.6701	0.6723
Palau041	Risong	225	1995	1.0202	0.7192	0.7337
Palau041	Risong	225	1994	1.0427	0.9485	0.989
Palau041	Risong	225	1993	1.0282	0.5235	0.5383
Palau041	Risong	225	1992	1.0028	0.7209	0.7229
Palau041	Risong	225	1991	0.9905	0.6497	0.6435
Palau041	Risong	225	1990	0.9806	0.7068	0.693
Palau041	Risong	225	1989	0.9761	0.687	0.6706
Palau041	Risong	225	1988	0.9724	1.1321	1.1008
Palau058	Drop_Off	229	2010	1.1619	0.6119	0.711
Palau058	Drop_Off	229	2009	1.1988	0.6513	0.7808
Palau058	Drop_Off	229	2008	1.2283	0.8499	1.0439
Palau058	Drop_Off	229	2007	1.237	0.6766	0.8369
Palau058	Drop_Off	229	2006	1.2245	0.8163	0.9996
Palau058	Drop_Off	229	2005	1.3195	0.7221	0.9529
Palau058	Drop_Off	229	2004	1.3481	0.724	0.9761
Palau058	Drop_Off	229	2003	1.3726	0.7354	1.0094
Palau058	Drop_Off	229	2002	1.3858	0.8973	1.2435
Palau058	Drop_Off	229	2001	1.3358	1.1372	1.5191
Palau058	Drop_Off	229	2000	1.215	0.7213	0.8764
Palau058	Drop_Off	229	1999	1.3089	1.037	1.3572
Palau058	Drop_Off	229	1998	1.3169	0.88	1.1589
Palau058	Drop_Off	229	1997	1.3159	0.9637	1.2681
Palau058	Drop_Off	229	1996	1.2459	0.8622	1.0742
Palau058	Drop_Off	229	1995	1.2678	0.9007	1.1419
Palau061	Drop_Off	230	2010	1.3555	0.7737	1.0488
Palau061	Drop_Off	230	2009	1.3488	0.8025	1.0823
Palau061	Drop_Off	230	2008	1.3627	0.8414	1.1465
Palau061	Drop_Off	230	2007	1.3572	0.7277	0.9876
Palau061	Drop_Off	230	2006	1.367	0.498	0.6807
Palau061	Drop_Off	230	2005	1.3526	0.3917	0.5299
Palau061	Drop_Off	230	2004	1.3767	0.5833	0.803
Palau061	Drop_Off	230	2003	1.3716	0.8555	1.1735
Palau061	Drop_Off	230	2002	1.3194	0.6479	0.8549
Palau061	Drop_Off	230	2001	1.323	0.5834	0.7718
Palau061	Drop_Off	230	2000	1.3263	0.8115	1.0763
Palau061	Drop_Off	230	1999	1.3528	0.7703	1.042
Palau061	Drop_Off	230	1998	1.3227	0.7594	1.0045
Palau061	Drop_Off	230	1997	1.3117	0.7647	1.0031
Palau061	Drop_Off	230	1996	1.3325	0.8003	1.0664
Palau061	Drop_Off	230	1995	1.2855	0.841	1.0811
Palau061	Drop_Off	230	1994	1.3003	0.8005	1.0408
Palau061	Drop_Off	230	1993	1.341	0.8694	1.1658
Palau061	Drop_Off	230	1992	1.3942	0.8854	1.2344
Palau056	Drop_Off	231	2010	1.3568	1.0738	1.4569
Palau056	Drop_Off	231	2009	1.3633	0.7201	0.9817
Palau056	Drop_Off	231	2008	1.2843	0.8414	1.0806
Palau056	Drop_Off	231	2007	1.2512	0.9801	1.2263
Palau056	Drop_Off	231	2006	1.2384	0.7209	0.8928
Palau056	Drop_Off	231	2005	1.2592	1.3259	1.6696
Palau056	Drop_Off	231	2004	1.3702	0.6954	0.9528
Palau056	Drop_Off	231	2003	1.3648	1.1247	1.5351
Palau056	Drop_Off	231	2002	1.2744	1.1279	1.4373
Palau056	Drop_Off	231	2001	1.2679	0.7979	1.0116
Palau056	Drop_Off	231	2000	1.2723	0.9062	1.153
Palau056	Drop_Off	231	1999	1.2835	1.2795	1.6422
Palau056	Drop_Off	231	1998	1.3273	0.9745	1.2935
Palau056	Drop_Off	231	1997	1.2667	1.004	1.2719
Palau056	Drop_Off	231	1996	1.241	0.8148	1.0111
Palau059	Drop_Off	232	2010	1.4537	0.301	0.4376
Palau059	Drop_Off	232	2009	1.5331	0.5509	0.8446
Palau059	Drop_Off	232	2008	1.3507	0.3622	0.4892
Palau059	Drop_Off	232	2007	1.3444	0.4204	0.5652
Palau059	Drop_Off	232	2006	1.3796	0.4886	0.6741
Palau059	Drop_Off	232	2005	1.4095	0.5964	0.8407
Palau059	Drop_Off	232	2004	1.3903	0.6654	0.9251
Palau059	Drop_Off	232	2003	1.4107	0.6818	0.9618
Palau059	Drop_Off	232	2002	1.4127	0.661	0.9338
Palau059	Drop_Off	232	2001	1.3595	0.8161	1.1095
Palau059	Drop_Off	232	2000	1.3728	0.6619	0.9087
Palau059	Drop_Off	232	1999	1.3473	0.6433	0.8668
Palau059	Drop_Off	232	1998	1.3604	0.7034	0.957
Palau055	Drop_Off	233	2010	1.31	0.388	0.5083
Palau055	Drop_Off	233	2009	1.305	0.3532	0.4609
Palau055	Drop_Off	233	2008	1.3082	0.4233	0.5537
Palau055	Drop_Off	233	2007	1.3189	0.5438	0.7172
Palau055	Drop_Off	233	2006	1.2818	0.3727	0.4777
Palau055	Drop_Off	233	2005	1.3272	0.8174	1.0848
Palau055	Drop_Off	233	2004	1.3688	0.5577	0.7633
Palau055	Drop_Off	233	2003	1.364	0.9096	1.2408
Palau055	Drop_Off	233	2002	1.3533	1.2048	1.6305
Palau055	Drop_Off	233	2001	1.3363	0.9148	1.2224
Palau062	Drop_Off	234	2010	1.3502	0.4654	0.6284
Palau062	Drop_Off	234	2009	1.3724	0.6222	0.8539
Palau062	Drop_Off	234	2008	1.3403	0.4598	0.6163
Palau062	Drop_Off	234	2007	1.3474	0.5578	0.7516
Palau062	Drop_Off	234	2006	1.328	0.9974	1.3246
Palau062	Drop_Off	234	2005	1.3176	0.6029	0.7944
Palau062	Drop_Off	234	2004	1.3144	0.559	0.7348
Palau062	Drop_Off	234	2003	1.2742	0.6339	0.8077
Palau062	Drop_Off	234	2002	1.2602	0.5419	0.6829
Palau062	Drop_Off	234	2001	1.2579	0.5229	0.6578
Palau062	Drop_Off	234	2000	1.2795	0.8024	1.0266
Palau062	Drop_Off	234	1999	1.2794	0.5982	0.7654
Palau062	Drop_Off	234	1998	1.3238	0.7869	1.0417
Palau063	Drop_Off	235	2010	1.2478	0.6055	0.7555
Palau063	Drop_Off	235	2009	1.2607	0.8257	1.041
Palau063	Drop_Off	235	2008	1.2535	0.8738	1.0953
Palau063	Drop_Off	235	2007	1.2108	0.7657	0.927
Palau063	Drop_Off	235	2006	1.2116	1.0497	1.2718
Palau063	Drop_Off	235	2005	1.2166	1.3546	1.6479
Palau063	Drop_Off	235	2004	1.2082	1.2413	1.4997
Palau063	Drop_Off	235	2003	1.2106	1.1928	1.444
Palau063	Drop_Off	235	2002	1.2051	0.9921	1.1956
Palau063	Drop_Off	235	2001	1.225	1.1126	1.3629
Palau066	Drop_Off	237	2010	1.3193	0.668	0.8813
Palau066	Drop_Off	237	2009	1.3835	0.9477	1.3111
Palau066	Drop_Off	237	2008	1.3483	1.2424	1.6752
Palau066	Drop_Off	237	2007	1.333	1.0015	1.335
Palau066	Drop_Off	237	2006	1.2971	0.7731	1.0028
Palau066	Drop_Off	237	2005	1.2683	0.9576	1.2145
Palau066	Drop_Off	237	2004	1.2679	1.2447	1.5781
Palau066	Drop_Off	237	2003	1.2547	1.2829	1.6097
Palau066	Drop_Off	237	2002	1.2816	1.4776	1.8937
Palau066	Drop_Off	237	2001	1.2889	1.1342	1.4619
Palau066	Drop_Off	237	2000	1.3364	0.9756	1.3037
Palau066	Drop_Off	237	1999	1.3287	0.9441	1.2544
Palau066	Drop_Off	237	1998	1.3051	1.0969	1.4315
Palau066	Drop_Off	237	1997	1.2784	0.7272	0.9296
Palau066	Drop_Off	237	1996	1.2808	1.0667	1.3663
Palau066	Drop_Off	237	1995	1.2623	0.8303	1.0481
Palau066	Drop_Off	237	1994	1.2843	1.1781	1.5131
Palau066	Drop_Off	237	1993	1.3019	1.5304	1.9925
Palau066	Drop_Off	237	1992	1.256	1.509	1.8953
Palau066	Drop_Off	237	1991	1.2863	1.6253	2.0906
Palau066	Drop_Off	237	1990	1.2421	1.7963	2.2313
Palau066	Drop_Off	237	1989	1.2019	1.7696	2.1269
Palau066	Drop_Off	237	1988	1.2152	1.7866	2.171
Palau066	Drop_Off	237	1987	1.2073	1.6607	2.0049
Palau066	Drop_Off	237	1986	1.2138	1.495	1.8146
Palau065	Drop_Off	239	2010	1.4792	0.9435	1.3956
Palau065	Drop_Off	239	2009	1.5361	0.8142	1.2507
Palau065	Drop_Off	239	2008	1.4636	0.883	1.2923
Palau065	Drop_Off	239	2007	1.4483	0.9461	1.3702
Palau065	Drop_Off	239	2006	1.4075	0.8308	1.1694
Palau065	Drop_Off	239	2005	1.4424	0.9698	1.3989
Palau065	Drop_Off	239	2004	1.4056	0.9042	1.271
Palau065	Drop_Off	239	2003	1.4982	0.901	1.3498
